Artist,Title,Air Time,Letter,First Word,Duration,Year
J. J. Cale,After Midnight,2020-12-17 06:03:00,A,After,2,0
Shocking Blue,Venus,2020-12-17 06:05:00,V,Venus,5,1969
Ben Folds Five,Brick,2020-12-17 06:10:00,B,Brick,4,1994
Sarah McLachlan,Sweet Surrender,2020-12-17 06:14:00,S,Sweet,8,1997
World Party,When The Rainbow Comes,2020-12-17 06:22:00,W,When,5,1990
Suzanne Vega,Marlene On The Wall,2020-12-17 06:27:00,M,Marlene,4,1985
Big Joe Turner,Shake Rattle And Roll,2020-12-17 06:31:00,S,Shake,3,1992
Wilbert Harrison,Let's Work Together (Parts 1 & 2),2020-12-17 06:34:00,L,Let's,7,1994
The Pretenders,Talk Of The Town,2020-12-17 06:41:00,T,Talk,3,1980
The Proclaimers,I'm Gonna Be (500 Miles),2020-12-17 06:44:00,I,I'm,7,1987
Zero 7,In The Waiting Line,2020-12-17 06:51:00,I,In,4,2001
Sade,Smooth Operator,2020-12-17 06:55:00,S,Smooth,6,1984
The Roches,Hammond Song,2020-12-17 07:01:00,H,Hammond,6,1979
Ray Lamontagne,Trouble,2020-12-17 07:07:00,T,Trouble,6,2004
Beck,Where It's At,2020-12-17 07:13:00,W,Where,3,1996
St. Vincent,Los Ageless,2020-12-17 07:16:00,L,Los,8,2017
Strand Of Oaks,Goshen '97,2020-12-17 07:24:00,G,Goshen,3,2014
Wire,Three Girl Rhumba,2020-12-17 07:27:00,T,Three,1,1977
Run-DMC,It's Tricky,2020-12-17 07:28:00,I,It's,4,1986
Missy Elliott,Work It,2020-12-17 07:32:00,W,Work,4,2002
Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),2020-12-17 07:36:00,C,C,6,1994
Robert Hazard,Escalator Of Life,2020-12-17 07:42:00,E,Escalator,3,1982
Rickie Lee Jones,Chuck E's In Love,2020-12-17 07:45:00,C,Chuck,7,1979
Taj Mahal,Ain't Gwine Whistle Dixie,2020-12-17 07:52:00,A,Ain't,8,1969
