Title,Artist,Year
ABC,Jackson 5,1983
A Big Hunk O' Love,Elvis Presley,1959
A Boy Named Sue (live),Johnny Cash,1969
A Case Of You,Joni Mitchell,1971
A Certain Girl,Ernie K-Doe,1988
A Certain Girl,Warren Zevon,1980
A Change,Sheryl Crow,1996
A Change Is Gonna Come,Sam Cooke,1964
A Day In The Life,The Beatles,1967
A Deeper Shade Of Soul,Ray Barretto,1968
A Dream Goes On Forever,Todd Rundgren,1974
A Girl Like You,Edwyn Collins,1995
A Girl Like You,The Smithereens,1989
A Good Feelin' To Know,Poco,1972
A Good Idea,Sugar,1992
A Hard Day's Night,The Beatles,1964
A Hard Rain's A-gonna Fall,Bob Dylan,1964
A Hazy Shade Of Winter,Simon & Garfunkel,1968
A Higher Place,Tom Petty,1994
A Little Bit Of Bad,NRBQ,1994
A Love Bizarre,Michael Hedges,1987
A Man Needs A Maid,Neil Young,1972
A Matter Of Time,Los Lobos,1984
A Million Miles Away,The Plimsouls,1983
A Natural Man,Lou Rawls,1988
A New Life,Jim James,2013
A Salty Dog,Procol Harum,1969
A Shot In The Arm,Wilco,1999
A Sky Full of Stars,Coldplay,2014
A Song For You,Leon Russell,1970
A Spoonful Weighs A Ton,The Flaming Lips,1999
A Taste of Honey,Herb Alpert & The Tijuana Brass,1965
A Teenager In Love,Dion & The Belmonts,1959
A Trick Of The Tail,Genesis,1976
A Well Respected Man,The Kinks,1965
A Whiter Shade Of Pale,Procol Harum,1989
About A Girl,Nirvana,1989
Abracadabra,Steve Miller Band,1982
Absolutely Sweet Marie,Bob Dylan,1966
Absolutely Sweet Marie,Jason & The Scorchers,1983
Acadian Driftwood,The Band,1975
Accidentally In Love,Counting Crows,2004
Accidents Will Happen,Elvis Costello,1979
Across 110th Street,Bobby Womack,1972
Across The Great Divide,The Band,1969
Across The Universe,The Beatles,1969
Action Figure Party,Action Figure Party,2001
Adam Raised A Cain,Bruce Springsteen,1978
Adia,Sarah McLachlan,1998
Adventure Of A Lifetime,Coldplay,2015
After Midnight,Eric Clapton,1970
After The Goldrush,Neil Young,1970
Again & Again,The Bird And The Bee,2006
Age Of Consent,New Order,1983
Agent Double-O-Soul,Edwin Starr,1968
