Artist,Title,Air Time
Nena,99 Luftballoons,2018-12-09 14:57:00
Garland Jeffreys,96 Tears,2018-12-09 14:53:00
Dolly Parton,9 To 5,2018-12-09 14:50:00
The Nails,88 Lines About 44 Women,2018-12-09 14:45:00
The Time,777-9311,2018-12-09 14:36:00
Nick Lowe,7 Nights To Rock,2018-12-09 14:33:00
B-52's,53 Miles West Of Venus,2018-12-09 14:28:00
The Hooters,500 Miles,2018-12-09 14:24:00
Julian Cope,5 O'Clock World,2018-12-09 14:19:00
X,4th Of July,2018-12-09 14:16:00
U2,40,2018-12-09 14:13:00
Herbie Hancock,4 AM,2018-12-09 14:06:00
Trans-X,3-D Dance,2018-12-09 14:01:00
Chic,26,2018-12-09 13:56:00
The Dukes Of Stratosphear,25 O'Clock,2018-12-09 13:51:00
Happy Mondays,24 Hour Party People,2018-12-09 13:45:00
Game Theory,24,2018-12-09 13:42:00
Prince,1999,2018-12-09 13:39:00
Paul Hardcastle,19,2018-12-09 13:35:00
Tom Waits,16 Shells From A Thirty-Ought-Six,2018-12-09 13:29:00
NRBQ,12 Bar Blues,2018-12-09 13:26:00
U2,11 O'Clock Tick Tock,2018-12-09 13:23:00
The Monochrome Set,10 Don'ts For Honeymooners,2018-12-09 13:18:00
Half Japanese,"1,000,000 Kisses",2018-12-09 13:16:00
Fishbone,? (Modern Industry),2018-12-09 13:12:00
My Life With Thrill Kill Kult,...And This is What the Devil Does!,2018-12-09 13:04:00
Beastie Boys,(You Gotta) Fight For Your Right (To Party),2018-12-09 13:01:00
Heaven 17,(We Don't Need This) Fascist Groove Thing,2018-12-09 12:56:00
The Stone Roses,(Song For My) Sugar Spun Sister,2018-12-09 12:53:00
Stray Cats,(She's) Sexy And 17,2018-12-09 12:48:00
They Might Be Giants,(She Was A) Hotel Detective,2018-12-09 12:46:00
Was (Not Was),(Return To The Valley Of) Out Come The Freaks,2018-12-09 12:42:00
Talking Heads,(Nothing But) Flowers,2018-12-09 12:35:00
The Human League,(Keep Feeling) Fascination,2018-12-09 12:31:00
John Lennon,(Just Like) Starting Over,2018-12-09 12:27:00
A Flock Of Seagulls,(It's Not Me) Talking,2018-12-09 12:21:00
Ian Hunter,(I'm The) Teacher,2018-12-09 12:17:00
Joan Armatrading,(I Love It When You) Call Me Names,2018-12-09 12:12:00
Cutting Crew,(I Just) Died in Your Arms,2018-12-09 12:07:00
Ministry,(Every Day Is) Halloween,2018-12-09 12:00:00
The Blow Monkeys with Curtis Mayfield,(Celebrate) The Day After You,2018-12-09 11:52:00
Minutemen,#1 Hit Song,2018-12-09 11:50:00
Camper Van Beethoven,ZZ Top Goes To Egypt,2018-12-09 11:45:00
Beausoleil,Zydeco Gris-Gris,2018-12-09 11:37:00
Jean-Michel Jarre,Zoolook,2018-12-09 11:31:00
Bauhaus,Ziggy Stardust,2018-12-09 11:28:00
The Plimsouls,Zero Hour,2018-12-09 11:23:00
Rush,YYZ,2018-12-09 11:23:00
Third World,You're Playing Us Too Close,2018-12-09 10:59:00
ESG,You're No Good,2018-12-09 10:55:00
Johnny Adams,You're In For A Big Surprise,2018-12-09 10:51:00
The Dukes Of Stratosphear,You're a Good Man Albert Brown (Curse You Red Barrel),2018-12-09 10:45:00
New Order,Your Silent Face,2018-12-09 10:39:00
X,Your Phone's Off The Hook But You're Not,2018-12-09 10:36:00
Sade,Your Love Is King,2018-12-09 10:33:00
Emmylou Harris,Your Long Journey,2018-12-09 10:28:00
Wham!,"Young Guns 12""",2018-12-09 10:21:00
Bob Seger & The Silver Bullet Band,You'll Accomp'ny Me,2018-12-09 10:16:00
Divine,You Think You're A Man,2018-12-09 10:13:00
Wreckless Eric,You Sweet Big Thing,2018-12-09 10:09:00
Dead Or Alive,You Spin Me Round,2018-12-09 10:02:00
AC/DC,You Shook Me All Night Long,2018-12-09 09:59:00
Oingo Boingo,You Really Got Me,2018-12-09 09:54:00
Ice T,You Played Yourself,2018-12-09 09:48:00
Bruce Cockburn,You Pay Your Money And You Take Your Chance,2018-12-09 09:43:00
The Cars,You Might Think,2018-12-09 09:38:00
Billy Joel,You May Be Right,2018-12-09 09:34:00
My Bloody Valentine,You Made Me Realise,2018-12-09 09:30:00
The Beautiful South,You Keep It All In,2018-12-09 09:28:00
Tom Petty & The Heartbreakers,You Got Lucky,2018-12-09 09:22:00
New Kids On The Block,You Got It (The Right Stuff),2018-12-09 09:18:00
Roy Orbison,You Got It,2018-12-09 09:14:00
Judas Priest,You Got Another Thing Coming,2018-12-09 09:07:00
Bon Jovi,You Give Love a Bad Name,2018-12-09 09:02:00
The Offs,You Fascinate Me,2018-12-09 08:59:00
Phish,You Enjoy Myself,2018-12-09 08:49:00
The Gap Band,You Dropped A Bomb On Me,2018-12-09 08:43:00
Keith Richards,You Don't Move Me,2018-12-09 08:38:00
Graham Parker,You Can't Take Love For Granted,2018-12-09 08:32:00
Lyle Lovett,You Can't Resist It,2018-12-09 08:29:00
Phil Collins,You Can't Hurry Love,2018-12-09 08:26:00
Joe Jackson,You Can't Get What You Want,2018-12-09 08:19:00
Bruce Springsteen,You Can Look (But You Better Not Touch),2018-12-09 08:16:00
Joe Cocker,You Can Leave Your Hat On,2018-12-09 08:12:00
Paul Simon,You Can Call Me Al,2018-12-09 08:05:00
The Who,You Better You Bet,2018-12-09 08:00:00
Pat Benatar,You Better Run,2018-12-09 07:56:00
Run-DMC,You Be Illin',2018-12-09 07:53:00
The System,You Are In My System,2018-12-09 07:46:00
Robert Palmer,You Are In My System,2018-12-09 07:41:00
The Vulgar Boatmen,You And Your Sister,2018-12-09 07:35:00
Kirsty MacColl,You And Me Baby,2018-12-09 07:32:00
Rockpile,You Ain't Nothin' But Fine,2018-12-09 07:29:00
Axodry,"You 12""",2018-12-09 07:20:00
Delta 5,You,2018-12-09 07:16:00
Au Pairs,You,2018-12-09 07:13:00
Weird Al Yankovic,Yoda,2018-12-09 07:08:00
Tom Petty,Yer So Bad,2018-12-09 07:05:00
Neville Brothers,Yellow Moon,2018-12-09 07:01:00
The Pogues,"Yeah, Yeah, Yeah, Yeah, Yeah",2018-12-09 06:57:00
James Ingram,Yah Mo B There,2018-12-09 06:53:00
Steve Forbert,Ya Ya (Next To Me),2018-12-09 06:47:00
Lou Reed,Xmas In February,2018-12-09 06:44:00
Electric Light Orchestra w/ Olivia Newton John,Xanadu,2018-12-09 06:41:00
Pat Benatar,Wuthering Heights,2018-12-09 06:36:00
Happy Mondays,Wrote For Luck,2018-12-09 06:29:00
Squeeze,Wrong Side of the Moon,2018-12-09 06:26:00
George Harrison,Writings On The Wall,2018-12-09 06:22:00
Neil Young,Wrecking Ball,2018-12-09 06:16:00
Bruce Springsteen,Wreck On The Highway,2018-12-09 06:12:00
The Police,Wrapped Around Your Finger,2018-12-09 06:06:00
The Fabulous Thunderbirds,Wrap It Up,2018-12-09 06:03:00
Ringo Starr,Wrack My Brain,2018-12-09 06:01:00
Brian Eno,Thursday Afternoon (excerpt),2018-12-09 05:41:00
Vangelis,Abraham's Theme,2018-12-09 05:37:00
The Nightcrawlers,Ombra,2018-12-09 05:26:00
Chuck van Zyl,The Theory Changes the Reality It Describes,2018-12-09 05:04:00
Harold Budd & Brian Eno,First Light,2018-12-09 05:00:00
Bob Holroyd,Enough,2018-12-09 04:51:00
Cosmic Ground,Sunday Morning,2018-12-09 04:40:00
Master Margherita,Eight Degrees South (Ultimae Dub),2018-12-09 04:35:00
Fabio Keiner,All Alone I Go,2018-12-09 04:30:00
Gri + Mosconi,Titan Rain,2018-12-09 04:22:00
Michel Banabila,An Image of a Metropolis Without One Single Car,2018-12-09 04:15:00
Vantzou,Staircases,2018-12-09 04:11:00
Remote Vision,The Glittercliff,2018-12-09 04:04:00
Steve Hauschildt,M Path,2018-12-09 04:00:00
Ascendant,Solarium,2018-12-09 03:47:00
Pollard Daniel Booth,Cell,2018-12-09 03:30:00
Arjen Schat,Zeitgeber,2018-12-09 03:08:00
SubtractiveLAD,Infinite Things,2018-12-09 03:00:00
Juha-Matti Rautiainen,Above Me Weeps the Sky,2018-12-09 02:50:00
Sedeleca,I Can Hear the Dark,2018-12-09 02:40:00
Martin Nonstatic,Parallel Thoughts (Erot Mix),2018-12-09 02:34:00
K Markov,The Moon,2018-12-09 02:27:00
Fiesel & Hertz,Inlet Bay,2018-12-09 02:18:00
David Arkenstone,Darkness Descending,2018-12-09 02:14:00
Chronotope Project,Opening the Hand of Thought,2018-12-09 02:06:00
Alluste,Zone of Influence,2018-12-09 02:00:00
Maunel G̦ttsching,E2E4 (excerpt),2018-12-09 01:50:00
Klaus Schulze,Spielglocken,2018-12-09 01:29:00
Tangerine Dream,Poland,2018-12-09 01:07:00
Black Flag,Wound Up,2018-12-09 00:56:00
Nik Kershaw,"Wouldn't It Be Good 12""",2018-12-09 00:49:00
Eurythmics,Would I Lie To You?,2018-12-09 00:44:00
Captain Sensible,Wot,2018-12-09 00:41:00
Crowded House,World Where You Live,2018-12-09 00:38:00
Julian Cope,World Shut Your Mouth,2018-12-09 00:35:00
Jackson Browne,World In Motion,2018-12-09 00:31:00
Time Zone,World Destruction,2018-12-09 00:27:00
China Crisis,Working With Fire And Steel,2018-12-09 00:21:00
